項次,停車場名稱,緯度,經度,小汽車,機車,自行車
1,捷運劍南路站轉乘停車場,25.0845396,121.5544513,282,52,122
2,捷運文德站轉乘停車場,25.07845,121.584945,306,0,0
3,捷運頂埔站轉乘停車場,24.958923,121.4200616,77,298,0
4,捷運永寧站轉乘停車場,24.96565,121.43562,202,0,0
5,捷運海山站轉乘停車場,24.98695,121.449236,63,99,132
6,捷運海山站自行車停車區,24.98492,121.44885,0,0,93
7,捷運海山站自行車停車區,24.98623,121.449,0,0,39
8,捷運府中站轉乘停車場,25.055478,121.5729636,0,293,0
9,捷運木柵站轉乘停車場,24.9980966,121.5729636,146,161,0
10,捷運新店站轉乘停車場,24.95695,121.5375396,209,393,0
11,捷運南勢角站轉乘停車場,24.9907,121.5084,337,0,0
12,捷運劍潭站轉乘停車場,25.082545,121.524359,139,152,0
13,捷運士林站轉乘停車場,25.092702,121.52662,78,0,0
14,捷運芝山站轉乘停車場,25.101193,121.523085,164,0,0
15,捷運石牌站轉乘停車場,25.11601,121.51465,64,0,0
16,捷運唭哩岸站轉乘停車場,25.12065,121.50785,37,171,301
17,捷運北投站轉乘停車場,25.133,121.4979,85,0,0
18,捷運新北投站轉乘停車場,25.1367813,121.5015201,24,0,0
19,捷運忠義站轉乘停車場,25.1301,121.4721,44,63,14
20,捷運紅樹林站轉乘停車場,25.15377,121.45913,215,0,76
21,捷運淡水站轉乘停車場,25.1676842,121.4454426,553,1000,0
22,內湖機廠（南港展覽館展期開放）,25.061562,121.617759,302,160,0
23,木柵機廠（僅假日開放）,25.00148,121.584417,678,0,0
24,捷運大直站自行車停車區,25.080405,121.546994,0,0,16
25,捷運大直站自行車停車區,25.079521,121.546742,0,0,20
26,捷運西湖站自行車停車區,25.082006,121.567119,0,0,64
27,捷運西湖站機車停車區,25.082008,121.567194,0,2,0
28,捷運港墘站自行車停車區,25.080123,121.575852,0,0,100
29,捷運港墘站自行車停車區,25.079975,121.575657,0,0,87
30,捷運內湖站轉乘停車場,25.083432,121.594582,0,319,230
31,捷運大湖公園站自行車停車區,25.083962,121.602288,0,0,61
32,捷運大湖公園站機車停車區,25.083969,121.602181,0,43,0
33,捷運葫洲站自行車停車區,25.072621,121.606931,0,0,13
34,捷運葫洲站機車停車區,25.0725,121.608009,0,2,0
35,捷運東湖站自行車停車區,25.066978,121.611665,0,0,40
36,捷運東湖站自行車停車區,25.066137,121.61108,0,0,50
37,捷運東湖站機車停車區,25.065918,121.611032,0,22,0
38,捷運南港軟體園區站自行車停車區,25.060167,121.615686,0,0,10
39,捷運南港軟體園區站自行車停車區,25.05981,121.616372,0,0,22
40,捷運動物園站自行車停車區,24.9983,121.57971,0,0,20
41,捷運板橋站自行車停車區,25.014801,121.462135,0,0,50
42,捷運板橋站自行車停車區,25.013999,121.462494,0,0,60
43,捷運板橋站自行車停車區,25.013673,121.461995,0,0,20
44,捷運板橋站機車停車區,25.01438,121.462583,0,4,0
45,捷運新埔站自行車停車區,25.02406,121.46835,0,0,45
46,捷運新埔站自行車停車區,25.0231,121.46857,0,0,10
47,捷運新埔站自行車停車區,25.02232,121.4681,0,0,82
48,捷運新埔站自行車停車區,25.02183,121.46835,0,0,37
49,捷運江子翠站自行車停車區,25.0297,121.4724,0,0,46
50,捷運江子翠站自行車停車區,25.03016,"12,147,214",0,0,14
51,捷運西門站自行車停車區,25.042108,121.507853,0,0,21
52,捷運西門站自行車停車區,25.042444,121.50773,0,0,40
53,捷運善導寺站自行車停車區,25.044434,121.524322,0,0,55
54,捷運善導寺站自行車停車區,25.04449,121.52367,0,0,60
55,捷運忠孝新生站自行車停車區,25.0423,121.53204,0,0,16
56,捷運忠孝新生站自行車停車區,25.04177,121.53378,0,0,88
57,捷運忠孝新生站自行車停車區,25.04243,121.53339,0,0,35
58,捷運忠孝新生站自行車停車區,25.04097,121.53255,0,0,58
59,捷運忠孝復興站自行車停車區,25.040137,121.543561,0,0,36
60,捷運國父紀念館站自行車停車區,25.041173,121.558126,0,0,30
61,捷運國父紀念館站自行車停車區,25.041173,121.558498,0,0,42
62,捷運市政府站自行車停車區,25.041299,121.565365,0,0,20
63,捷運市政府站自行車停車區,25.041263,121.567119,0,0,49
64,捷運永春站自行車停車區,25.040728,121.576496,0,0,35
65,捷運後山埤站自行車停車區,25.04423,121.58179,0,0,26
66,捷運後山埤站自行車停車區,25.04541,121.58299,0,0,30
67,捷運昆陽站機車停車區,25.050735,121.594531,0,201,0
68,捷運昆陽站機車停車區,25.050827,121.594968,0,100,0
69,捷運昆陽站機踏車停車區,25.050591,121.59404,0,0,60
70,捷運昆陽站機踏車停車區,25.050176,121.592353,0,0,63
71,捷運昆陽站機車停車區,25.049833,121.591098,0,100,0
72,捷運昆陽站機車停車區,25.050166,121.591758,0,100,0
73,捷運南港站自行車停車區,25.051945,121.606494,0,0,126
74,捷運南港站機踏車停車區,25.052042,121.607524,0,1,0
75,捷運土城站自行車停車區,24.972944,121.443998,0,0,50
76,捷運土城站自行車停車區,24.97219,121.443483,0,0,52
77,捷運亞東醫院站機車停車區,24.99905,121.45263,0,78,0
78,捷運亞東醫院站機車停車區,24.99861,121.45289,0,3,0
79,捷運亞東醫院站自行車停車區,24.99892,121.45263,0,0,77
80,捷運亞東醫院站自行車停車區,24.99794,121.45229,0,0,93
81,捷運六張犁站自行車停車區,25.02395,121.55223,0,0,29
82,捷運麟光站自行車停車區,25.0185,121.558767,0,0,76
83,捷運麟光站機車停車區,25.018196,121.558804,0,62,0
84,捷運辛亥站自行車停車區,25.004779,121.556742,0,0,112
85,捷運辛亥站機車停車區,25.004662,121.556758,0,37,0
86,捷運萬芳醫院站自行車停車區,24.999115,121.558144,0,0,32
87,捷運萬芳社區站自行車停車區,24.9987094,121.5675049,0,0,20
88,捷運萬芳社區站機車停車區,24.99861,121.567328,0,316,0
89,捷運小碧潭站自行車停車區,24.972958,121.530252,0,0,60
90,捷運小碧潭站自行車停車區,24.971601,121.530601,0,0,75
91,捷運萬隆站自行車停車區,25.001257,121.539908,0,0,13
92,捷運公館站自行車停車區,25.014898,121.53446,0,0,60
93,捷運公館站自行車停車區,25.01554,121.533734,0,0,100
94,捷運公館站自行車停車區,25.015798,121.533465,0,0,111
95,捷運小南門站自行車停車區,25.036315,121.509956,0,0,11
96,捷運小南門站自行車停車區,25.035651,121.51002,0,0,13
97,捷運輔大站機車停車區,25.032271,121.435382,0,55,0
98,捷運輔大站機車停車區,25.032419,121.436549,0,60,0
99,捷運輔大站機車停車區,25.033143,121.436404,0,32,0
100,捷運輔大站機車停車區,25.032684,121.43645,0,20,0
101,捷運輔大站機車停車區,25.032499,121.435195,0,20,0
102,捷運輔大站自行車停車區,25.032305,121.435211,0,0,30
103,捷運輔大站自行車停車區,25.032759,121.436509,0,0,40
104,捷運輔大站自行車停車區,25.033253,121.436498,0,0,44
105,捷運輔大站機車停車區,25.032546,121.435356,0,39,0
106,捷運頭前庄站機車停車區,25.039158,121.46059,0,273,0
107,捷運三重站自行車停車區,25.055473,121.483297,0,0,103
108,捷運菜寮站自行車停車區,25.06039,121.49194,0,0,21
109,捷運東門站自行車停車區,25.034099,121.530011,0,0,19
110,捷運頂溪站自行車停車區,25.014521,121.515841,0,0,25
111,捷運永安市場站自行車停車區,25.0022952,121.5109058,0,0,18
112,捷運景安站自行車停車區,24.994939,121.505257,0,0,36
113,捷運景安站自行車停車區,24.995082,121.505308,0,0,35
114,捷運三民高中站自行車停車區,25.085531,121.472719,0,0,100
115,捷運三民高中站自行車停車區,25.085771,121.473719,0,0,179
116,捷運三民高中站自行車停車區,25.085796,121.473515,0,0,100
117,捷運徐匯中學站自行車停車區,25.080262,121.480022,0,0,100
118,捷運徐匯中學站自行車停車區,25.08033,121.479617,0,0,76
119,捷運三和國中站自行車停車區,25.07717,121.48681,0,0,138
120,捷運三重國小站自行車停車區,25.070731,121.496537,0,0,202
121,捷運迴龍站自行車停車區,25.0210597,121.410872,0,0,60
122,捷運迴龍站機車停車區,25.021215,121.410928,0,52,0
123,捷運迴龍站機車停車區,25.021451,121.410754,0,100,0
124,捷運迴龍站自行車停車區,25.02209,121.411829,0,0,67
125,捷運迴龍站機車停車區,25.022622,121.412905,0,60,0
126,捷運丹鳳站自行車停車區,25.029046,121.422572,0,0,35
127,捷運丹鳳站機車停車區,25.028599,121.422671,0,38,0
128,捷運丹鳳站機車停車區,25.029313,121.423656,0,30,0
129,捷運丹鳳站自行車停車區,25.0285429,121.4226982,0,0,34
130,捷運大安森林公園站自行車停車區,25.033292,121.536287,0,0,120
131,捷運大安森林公園站自行車停車區,25.0334083,121.5342513,0,0,113
132,捷運中正紀念堂站自行車停車區,25.03238672,121.5187656,0,0,20
133,捷運臺大醫院站自行車停車區,25.040602,121.515741,0,0,40
134,捷運中山站自行車停車區,25.053376,121.520333,0,0,23
135,捷運雙連站自行車停車區,25.057203,121.520553,0,0,20
136,捷運雙連站自行車停車區,25.058032,121.520792,0,0,38
137,捷運雙連站自行車停車區,25.05876,121.520577,0,0,30
138,捷運民權西路站自行車停車區,25.062126,121.519791,0,0,51
139,捷運民權西路站自行車停車區,25.063156,121.518638,0,0,52
140,捷運圓山站自行車停車區,25.071951,121.520135,0,0,100
141,捷運圓山站自行車停車區,25.07205,121.520379,0,0,105
142,捷運明德站自行車停車區,25.109383,121.518906,0,0,100
143,捷運明德站自行車停車區,25.109918,121.518874,0,0,90
144,捷運明德站自行車停車區,25.108912,121.519255,0,0,188
145,捷運明德站機車停車區,25.108708,121.519545,0,90,0
146,捷運明德站機車停車區,25.110824,121.518367,0,80,0
147,捷運明德站機車停車區,25.110651,121.517997,0,64,0
148,捷運奇岩站自行車停車區,25.125963,121.500885,0,0,100
149,捷運奇岩站自行車停車區,25.12633,121.501067,0,0,189
150,捷運奇岩站機車停車區,25.126592,121.500914,0,154,0
151,捷運復興崗站自行車停車區,25.137845,121.485368,0,0,60
152,捷運復興崗站自行車停車區,25.137505,121.484338,0,0,57
153,捷運復興崗站機車停車區,25.137699,121.486216,0,68,0
154,捷運關渡站自行車停車區,25.124824,121.46681,0,0,50
155,捷運關渡站自行車停車區,25.124756,121.46666,0,0,60
156,捷運關渡站自行車停車區,25.125016,121.466536,0,0,82
157,捷運關渡站機車停車區,25.125196,121.466676,0,122,0
158,捷運竹圍站自行車停車區,25.137464,121.459627,0,0,112
159,捷運竹圍站機車停車區,25.137753,121.459729,0,50,0
160,捷運竹圍站機車停車區,25.135924,121.459686,0,101,0
161,捷運紅樹林站機車停車區,25.15255,121.45915,0,505,0
162,捷運景美站自行車停車區,24.99344,121.54125,0,0,57
163,捷運木柵站自行車停車區,24.99825,121.5728,0,0,80
164,捷運文德站自行車停車區,25.07862,121.58575,0,0,16
165,捷運文德站自行車停車區,25.07844,121.85472,0,0,20
166,捷運南港展覽館站自行車停車區,25.0555,121.61848,0,0,150
167,捷運南港展覽館站自行車停車區,25.05468,121.61842,0,0,100
168,捷運南港展覽館站自行車停車區,25.05466,121.61674,0,0,231
169,捷運南港展覽館機車停車場,25.05547,121.61895,0,1050,0
170,捷運淡水站自行車停車區,25.16737,121.44704,0,0,98
171,捷運北投站機車停車區,25.13288,121.49755,0,562,0
172,捷運北投站自行車停車區,25.1319,121.49891,0,0,239
173,捷運北投站機踏車停車區,25.1325,121.49802,0,0,340
174,捷運新北投站機車停車區,25.13704,121.50359,0,2,0
175,捷運新北投站機車停車區,25.13682,121.50227,0,5,0
176,捷運新北投站自行車停車區,25.13686,121.50211,0,0,20
177,捷運石牌站機踏車停車區,25.11535,121.5148,0,0,100
178,捷運石牌站機踏車停車區,25.11472,121.51521,0,0,110
179,捷運石牌站機車停車區,25.11556,121.515,0,271,0
180,捷運石牌站自行車停車區,25.11512,121.51532,0,0,120
181,捷運石牌站自行車停車區,25.11366,121.51597,0,0,286
182,捷運芝山站轉乘停車場,25.10463,121.52242,0,100,0
183,捷運芝山站自行車停車區,25.10149,121.52281,0,0,200
184,捷運芝山站自行車停車區,25.10256,121.52277,0,0,230
185,捷運芝山站自行車停車區,25.10385,121.52251,0,0,100
186,捷運芝山站自行車停車區,25.10319,121.52229,0,0,157
187,捷運芝山站機車停車區,25.10134,121.5229,0,50,0
188,捷運芝山站機車停車區,25.1045,121.52239,0,60,0
189,捷運芝山站機車停車區,25.10434,121.5221,0,77,0
190,捷運士林站轉乘停車場,25.09247,121.52634,0,201,0
191,捷運士林站自行車停車區,25.09401,121.52621,0,0,67
192,捷運士林站自行車停車區,25.09298,121.52655,0,0,112
193,捷運劍潭站自行車停車區,25.08587,121.52532,0,0,300
194,捷運劍潭站自行車停車區,25.08306,121.52479,0,0,250
195,捷運新店站自行車停車區,24.95871,121.53778,0,0,28
196,捷運蘆洲站自行車停車區,25.09108,121.46502,0,0,233
197,捷運永寧站自行車停車區,24.96601,121.43562,0,0,50
198,捷運永寧站自行車停車區,24.9664,121.43529,0,0,66
199,捷運永寧站自行車停車區,24.96829,121.43738,0,0,72
200,捷運永寧站自行車停車區,24.96699,121.43663,0,0,46
201,捷運永寧站轉乘停車場,24.96537,121.43481,0,1137,0
202,捷運府中站自行車停車區,25.00815,121.45864,0,0,53
203,捷運府中站自行車停車區,25.00911,121.45945,0,0,155
204,捷運蘆洲站機車停車場,25.09105,121.46642,0,901,0
205,捷運蘆洲站汽車停車場,25.09248,121.46454,54,0,0
206,捷運十四張站自行車停車區,24.98463,121.52803,0,0,10
207,捷運十四張站轉乘停車場,24.98528,121.52795,146,284,0
208,捷運秀朗橋站自行車停車區,24.99017,121.52499,0,0,32
209,捷運景平站自行車停車區,24.99167,121.51618,0,0,118
210,捷運中和站自行車停車區,25.0021,121.49656,0,0,64
211,捷運橋和站自行車停車區,25.00453,121.49055,0,0,60
212,捷運橋和站自行車停車區,25.00416,121.49075,0,0,50
213,捷運中原站自行車停車區,25.00839,121.48451,0,0,60
214,捷運中原站自行車停車區,25.0087,121.48373,0,0,42
215,捷運板新站機車轉乘停車場,25.0143,121.47252,0,167,0
216,捷運板新站自行車停車區,25.01439,121.47199,0,0,212
217,捷運板橋站自行車停車區,25.01582,121.46423,0,0,44
218,捷運新埔民生站自行車停車區,25.02622,121.46689,0,0,88
219,捷運幸福站自行車停車區,25.04967,121.46042,0,0,227
220,捷運新北產業園區站轉乘停車場,25.0606,121.45964,25,0,0
221,捷運新北產業園區站自行車停車區,25.06078,121.45952,0,0,91
222,捷運新莊站機車停車區,25.0361453,121.4525961,0,2,0
223,捷運辛亥站機車停車區,25.00552,121.55709,0,18,0
